TIME, HLT, MASH, BOIL
0.0, 107.15, 54.71, 61.7
1.0, 106.91, 54.71, 61.01
2.0, 106.7, 54.71, 60.35
3.0, 108.05, 54.5, 63.71
4.0, 111.65, 54.5, 70.7
5.0, 114.35, 54.5, 76.55
6.0, 117.05, 54.26, 82.16
7.0, 119.75, 54.26, 86.9
8.0, 122.66, 54.26, 91.4
9.0, 124.91, 54.05, 95.21
10.0, 127.16, 54.05, 98.6
11.0, 128.06, 54.05, 101.51
12.0, 128.75, 54.05, 103.76
13.0, 130.31, 53.81, 106.01
14.0, 132.56, 53.81, 108.26
15.0, 134.81, 53.81, 110.51
16.0, 137.06, 53.81, 113.0
17.0, 139.1, 53.6, 115.46
18.0, 141.11, 53.6, 117.95
19.0, 143.36, 53.6, 120.2
20.0, 145.16, 53.6, 122.66
21.0, 147.2, 53.36, 124.7
22.0, 148.76, 53.36, 126.5
23.0, 150.35, 53.36, 128.75
24.0, 151.7, 53.36, 130.76
